System output with pulse of air occasionally
Raw,Delta,Flow,TempC,AccX,AccY,AccZ
1364195,0,0.00,29.6,544,392,364
1364536,0,0.00,29.6,522,392,364
1364846,0,0.00,29.6,519,392,364
1365166,0,0.00,29.6,529,392,364
1365481,0,0.00,29.6,558,393,364
1365799,0,0.00,29.6,559,392,364
1366109,0,0.00,29.6,529,392,363
1366434,0,0.00,29.6,519,392,364
1366798,0,0.00,29.6,521,392,364
1367084,0,0.00,29.7,543,392,363
1367354,0,0.00,29.6,563,392,364
1367672,0,0.00,29.7,544,392,364
1368005,0,0.00,29.5,522,393,364
1368311,0,0.00,29.6,519,393,364
1368597,0,0.00,29.7,530,392,364
1368888,0,0.00,29.6,559,392,364
1369195,0,0.00,29.7,558,392,364
1369545,0,0.00,29.6,529,392,363
1369788,0,0.00,29.6,520,393,364
1370108,0,0.00,29.6,522,392,363
1370401,0,0.00,29.6,545,392,364
1370701,0,0.00,29.6,565,392,364
1371007,0,0.00,29.6,544,392,364
1371282,0,0.00,29.7,523,392,363
1371565,0,0.00,29.6,520,391,364
1371844,0,0.00,29.6,532,392,364
1372121,0,0.00,29.6,561,392,364
1372425,0,0.00,29.5,558,392,363
1372669,0,0.00,29.7,529,392,363
1372969,0,0.00,29.6,520,392,364
1373284,0,0.00,29.6,524,392,364
1373554,0,0.00,29.5,548,392,364
1373840,0,0.00,29.6,565,392,363
1374112,0,0.00,29.5,542,392,363
1374349,0,0.00,29.6,522,392,364
1374625,0,0.00,29.5,520,392,364
1374915,0,0.00,29.5,534,392,364
1375182,0,0.00,29.6,563,392,363
1375455,0,0.00,29.5,556,392,364
1375742,0,0.00,29.5,529,392,364
1376005,0,0.00,29.6,521,392,364
1376274,0,0.00,29.5,526,392,364
1376560,0,0.00,29.6,551,392,364
1376797,0,0.00,29.5,566,392,364
1377040,0,0.00,29.6,541,392,363
1377330,0,0.00,29.5,524,392,363
1377597,0,0.00,29.5,521,392,363
1377832,0,0.00,29.5,536,392,363
1378084,0,0.00,29.6,564,392,364
1378363,0,0.00,29.5,555,392,364
1378607,0,0.00,29.5,528,392,364
1378834,0,0.00,29.5,521,392,364
1379106,0,0.00,29.6,527,392,363
1379373,0,0.00,29.6,556,392,364
1379607,0,0.00,29.5,567,392,363
1379817,0,0.00,29.6,538,392,364
1380109,0,0.00,29.6,523,392,363
1380351,0,0.00,29.6,523,392,363
1380581,0,0.00,29.6,541,392,364
1380837,0,0.00,29.6,566,392,363
1381062,0,0.00,29.5,550,392,363
1381361,0,0.00,29.5,526,393,363
1381586,0,0.00,29.5,521,392,364
1381837,0,0.00,29.6,531,392,363
1382046,0,0.00,29.5,563,392,363
1382226,0,0.00,29.5,589,393,364
1382325,0,0.00,29.6,548,372,355
1382483,0,0.00,29.6,534,392,364
1382209,0,0.00,29.5,553,381,357
1382260,0,0.00,29.5,526,397,375
1382366,0,0.00,29.5,519,402,385
1382501,0,0.00,29.4,494,380,354
1382700,0,0.00,29.5,472,374,354
1382993,0,0.00,29.5,325,352,361
System Initializing...
Keep airflow OFF and system STILL for calibration...
Raw,Delta,Flow,TempC,AccX,AccY,AccZ
1393649,0,0.00,29.4,339,397,363
1393874,0,0.00,29.3,339,394,363
1394053,0,0.00,29.4,481,401,370
1394226,0,0.00,29.3,275,331,305
1394441,0,0.00,29.3,341,385,364
1394602,0,0.00,29.3,337,405,343
1394762,0,0.00,-20.7,114,97,131
1394995,0,0.00,29.4,326,379,373
1395188,0,0.00,29.3,346,407,357
1395371,0,0.00,29.4,336,399,357
1395609,0,0.00,29.4,332,408,33
1395963,0,0.00,29.3,331,399,353
1396191,0,0.00,29.3,338,396,358
1396344,0,0.00,29.3,351,360,385
1396533,0,0.00,15.9,317,424,329
1396770,0,0.00,29.4,349,360,399
1396916,0,0.00,29.3,324,407,341
139□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□System Initializing...
Keep airflow OFF and system STILL for calibration...
Raw,Delta,Flow,TempC,AccX,AccY,AccZ
1408652,0,0.00,29.3,335,393,365
1408822,0,0.00,29.3,335,393,365
1408992,0,0.00,29.3,335,393,365
1409189,0,0.00,29.3,336,392,366
1409323,0,0.00,29.2,335,393,365
1409514,0,0.00,29.3,335,392,366
1409681,0,0.00,29.3,335,393,365
1409818,0,0.00,29.4,335,393,365
